Available_date,Floor,Kitchen_type,Bedrooms,Dressing_room,Bathrooms,Toilets,Office,Professional_space,Small_pet-friendly,Armored_door,Primary_energy_consumption,Energy_class,Reference_number_of_the_EPC_report,CO_emission,Heating_type,Heat_pump,Photovoltaic_solar_panels,Thermic_solar_panels,Common_water_heater,Double_glazing,Type_of_building,Monthly_rental_price,Monthly_costs,Tenement_building,price,space,address,listing_type,Number_of_floors,Number_of_frontages,Outdoor_parking_spaces,Living_area,Living_room_surface,Bedroom_1_surface,Bedroom_2_surface,Furnished,Terrace_surface,Intercom,Visio_phone,Address,Website,External_reference,agency,Construction_year,Building_condition,Terrace_orientation,Caretaker,Elevator,Accessible_for_disabled_people,Secure_access_alarm,Air_conditioning,TV_cable,Swimming_pool,Internet,Available_as_of,Street_frontage_width,Terrace,Shower_rooms,Surroundings_type
February 1 2023 - 12:00 AM,NA,Installed,1,NA,1,1,NA,NA,NA,NA,"86 kWh/m²
kilowatt hour per square meters",B,Not specified,17 kg CO₂/m²,Gas,NA,NA,NA,NA,NA,NA,"€ 900
900 €","€ 130
130€",No,"€900 (+ €130)
900€ + 130€ per month","1 bedroom | 60 m²
square meters",1030 — Schaerbeek,Apartment for rent,5,4,1,"60 m²
square meters","25 m²
square meters","14 m²
square meters",NA,No,"49 m²
square meters",Yes,Yes,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",http://www.expertissimmo.eu,5230023,Expertissimmo,2022,As new,NA,NA,Yes,Yes,NA,NA,Yes,No,NA,Immediately,NA,NA,1,Isolated
February 1 2023 - 12:00 AM,4,Hyper equipped,1,NA,1,1,NA,NA,NA,NA,"438 kWh/m²
kilowatt hour per square meters",G,Not specified,115 kg CO₂/m²,Gas,NA,NA,NA,NA,Yes,NA,"€ 850
850 €","€ 230
230€",No,"€850 (+ €230)
850€ + 230€ per month","1 bedroom | 52 m²
square meters",Ask for the exact address,Apartment for rent,4,2,NA,"52 m²
square meters","30 m²
square meters","14 m²
square meters",NA,No,"2 m²
square meters",NA,NA,"Val des Seigneurs, 9a
1150 - Woluwe-St-Pierre",http://www.sorimo.be,5233522,Sorimo - Bruxelles,NA,As new,NA,NA,Yes,No,NA,NA,NA,No,NA,Depending on the tenant,NA,NA,1,NA
November 1 2022 - 12:00 AM,1,Installed,NA,NA,NA,1,NA,NA,NA,NA,Not specified,Not specified,Not specified,Not specified,Gas,NA,NA,NA,NA,Yes,NA,"€ 625
625 €","€ 105
105€",No,"€625 (+ €105)
625€ + 105€ per month","40 m²
square meters",1070 — Anderlecht,Studio for rent,5,2,NA,"40 m²
square meters","20 m²
square meters","15 m²
square meters",NA,No,NA,NA,Yes,"Avenue Louise 200
1050 - Bruxelles",http://www.trevi.be,241071 - ME,TREVI,2022,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Urban
NA,7,Hyper equipped,2,NA,1,2,NA,NA,NA,NA,Not specified,Not specified,Not specified,Not specified,Gas,NA,NA,NA,NA,Yes,NA,"€ 1,325
1325 €","€ 150
150€",No,"€1,325 (+ €150)
1325€ + 150€ per month","2 bedrooms | 90 m²
square meters",Ask for the exact address,Apartment for rent,8,4,NA,"90 m²
square meters","33 m²
square meters",NA,NA,No,"10 m²
square meters",NA,NA,"Avenue Louise 200
1050 - Bruxelles",http://www.trevi.be,241070 - 111115511,TREVI,NA,As new,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Immediately,NA,NA,NA,NA
NA,8,NA,1,NA,1,1,NA,NA,NA,NA,"832 kWh/m²
kilowatt hour per square meters",G,Not specified,Not specified,Gas,NA,NA,NA,NA,Yes,NA,"€ 1,100
1100 €",NA,No,"€1,100/month
1100€ per month","1 bedroom | 75 m²
square meters",Ask for the exact address,Apartment for rent,8,2,NA,"75 m²
square meters","30 m²
square meters","14 m²
square meters",NA,No,"20 m²
square meters",NA,NA,"Edingsesteenweg 341
1755 - Kester",http://www.c21atg.be,3992 - 666555908,CENTURY 21 ATG,NA,Just renovated,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Immediately,NA,NA,NA,NA
NA,6,Hyper equipped,1,NA,1,NA,NA,NA,NA,NA,"407 kWh/m²
kilowatt hour per square meters",G,20111021-0000025164-01-8,87 kg CO₂/m²,NA,NA,NA,NA,NA,Yes,NA,"€ 1,250
1250 €",NA,No,"€1,250/month
1250€ per month","1 bedroom | 90 m²
square meters",1000 — Bruxelles,Apartment for rent,7,NA,NA,"90 m²
square meters",NA,NA,NA,No,NA,NA,NA,"Avenue Louise 200
1050 - Bruxelles-Quartier Louise",http://www.trevi.be,-241068,Trevi Gestea,NA,As new,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,Not installed,1,NA,1,NA,NA,NA,NA,NA,"407 kWh/m²
kilowatt hour per square meters",G,20111021-0000025164-01-8,87 kg CO₂/m²,NA,NA,NA,NA,NA,NA,NA,"€ 980
980 €",NA,No,"€980/month
980€ per month","1 bedroom | 70 m²
square meters",1000 — Bruxelles,Apartment for rent,7,NA,NA,"70 m²
square meters",NA,NA,NA,No,NA,NA,NA,"Avenue Louise 200
1050 - Bruxelles-Quartier Louise",http://www.trevi.be,241066 - 3789243,Trevi Gestea,NA,As new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March 1 2023 - 12:00 AM,3,USA hyper equipped,2,No,2,2,No,No,No,Yes,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,Yes,All kind,"€ 1,450
1450 €","€ 120
120€",No,"€1,450 (+ €120)
1450€ + 120€ per month","2 bedrooms | 122 m²
square meters",Ask for the exact address,Apartment for rent,4,NA,NA,"122 m²
square meters","52 m²
square meters","19 m²
square meters","13 m²
square meters",NA,"10 m²
square meters",Yes,Yes,NA,NA,NA,NA,2017,As new,South,No,Yes,No,Yes,No,Yes,No,Yes,NA,NA,NA,NA,NA
NA,3,Installed,1,No,NA,1,No,No,No,No,Not specified,Not specified,20221215-­0000628793-­01-­5,Not specified,Gas,No,No,No,Yes,Yes,All kind,"€ 950
950 €",NA,No,"€950/month
950€ per month","1 bedroom | 45 m²
square meters",1190 — Forest,Studio for rent,3,2,NA,"45 m²
square meters",NA,"20 m²
square meters",NA,Yes,"8 m²
square meters",Yes,Yes,NA,NA,NA,NA,NA,Just renovated,West,No,No,No,No,No,Yes,No,Yes,Immediately,7 m,NA,1,Landscape
NA,3,Hyper equipped,2,Yes,1,1,No,No,Yes,No,Not specified,Not specified,20221215-­0000628792-­01-­7,Not specified,Gas,No,No,No,Yes,Yes,Apartment building,"€ 1,950
1950 €",NA,No,"€1,950/month
1950€ per month","2 bedrooms | 110 m²
square meters",1190 — Forest,Penthouse for rent,3,2,NA,"110 m²
square meters","15 m²
square meters","16 m²
square meters","10 m²
square meters",Yes,"40 m²
square meters",Yes,Yes,NA,NA,NA,NA,2015,Just renovated,West,No,No,No,No,No,Yes,No,Yes,Immediately,7 m,NA,NA,Landscape
NA,2,Installed,1,No,NA,1,No,No,No,No,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,Yes,Apartment building,"€ 750
750 €",NA,No,"€750/month
750€ per month","1 bedroom | 54 m²
square meters",1190 — Forest,Apartment for rent,3,2,NA,"54 m²
square meters","15 m²
square meters","14 m²
square meters",NA,NA,NA,Yes,No,NA,NA,NA,NA,2009,As new,NA,No,No,No,No,No,No,No,No,Immediately,6 m,NA,1,NA
March 1 2023 - 12:00 AM,2,Installed,2,No,1,2,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,No,All kind,"€ 1,250
1250 €","€ 300
300€",No,"€1,250 (+ €300)
1250€ + 300€ per month","2 bedrooms | 120 m²
square meters",1200 — Woluwe-Saint-Lambert,Duplex for rent,2,1,NA,"120 m²
square meters","20 m²
square meters",NA,NA,Yes,NA,Yes,No,NA,NA,NA,NA,NA,Good,NA,No,No,No,No,No,No,No,Yes,NA,5 m,NA,NA,NA
NA,NA,USA hyper equipped,3,NA,2,3,Yes,NA,NA,NA,Not specified,Not specified,Not specified,Not specified,Gas,NA,NA,NA,NA,NA,NA,"€ 3,300
3300 €",NA,No,"€3,300/month
3300€ per month","3 bedrooms | 160 m²
square meters",1170 — Watermael-Boitsfort,Exceptional property for rent,NA,3,NA,"160 m²
square meters","22 m²
square meters","16 m²
square meters","12 m²
square meters",No,"6 m²
square meters",Yes,NA,"Square Marie Louise 13/5
1000 - Bruxelles",http://www.square-properties.be,5222329,Square Properties,1932,Just renovated,NA,NA,No,No,NA,NA,Yes,NA,NA,Immediately,NA,NA,NA,Countryside
March 1 2023 - 12:00 AM,4,Installed,1,NA,1,1,NA,NA,Yes,NA,"165 kWh/m²
kilowatt hour per square meters",D,20141022-0000254621-01-3,35 kg CO₂/m²,Gas,NA,NA,NA,NA,Yes,NA,"€ 1,200
1200 €","€ 50
50€",No,"€1,200 (+ €50)
1200€ + 50€ per month","1 bedroom | 52 m²
square meters",Ask for the exact address,Penthouse for rent,4,4,NA,"52 m²
square meters","22 m²
square meters","11 m²
square meters",NA,No,"53 m²
square meters",NA,NA,"Av. Aviateur de Caters 4
1310 - LA HULPE",NA,341 - 1386,JT Properties.,1988,As new,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April 1 2023 - 12:00 AM,NA,Installed,1,No,1,NA,No,No,No,No,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,No,Apartment building,"€ 1,400
1400 €",NA,No,"€1,400/month
1400€ per month","1 bedroom | 80 m²
square meters",1060 — Saint-Gilles,Ground floor for rent,3,2,NA,"80 m²
square meters",NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Urban
NA,2,Installed,1,Yes,1,1,No,No,No,No,Not specified,Not specified,Not specified,Not specified,NA,No,No,No,No,No,Apartment building,"€ 975
975 €","€ 65
65€",No,"€975 (+ €65)
975€ + 65€ per month","1 bedroom | 67 m²
square meters",1200 — Woluwe-Saint-Lambert,Apartment for rent,2,2,NA,"67 m²
square meters",NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,Just renovated,NA,No,No,No,No,No,Yes,No,Yes,To be defined,NA,NA,NA,NA
March 1 2023 - 12:00 AM,1,Hyper equipped,1,No,NA,1,No,No,No,No,"504 kWh/m²
kilowatt hour per square meters",G,20170531-0000505140-01-08,80 kg CO₂/m²,Gas,No,No,No,No,Yes,All kind,"€ 800
800 €","€ 30
30€",No,"€800 (+ €30)
800€ + 30€ per month","1 bedroom | 50 m²
square meters",1060 — Saint-Gilles,Apartment for rent,2,2,NA,"50 m²
square meters",NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,1900,As new,NA,No,No,No,No,No,Yes,No,Yes,NA,NA,NA,1,Living area (residential, urban or rural)
March 1 2023 - 12:00 AM,4,Hyper equipped,1,No,1,2,No,No,No,No,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,Yes,All kind,"€ 970
970 €",NA,No,"€970/month
970€ per month",1 bedroom,Ask for the exact address,Apartment for rent,NA,2,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,As new,NA,No,No,No,No,No,Yes,No,Yes,NA,NA,NA,NA,NA
NA,NA,Hyper equipped,3,Yes,1,2,Yes,NA,NA,Yes,"197 kWh/m²
kilowatt hour per square meters",D,202102160000582878019,Not specified,Gas,NA,NA,NA,NA,Yes,NA,"€ 2,400
2400 €","€ 250
250€",No,"€2,400 (+ €250)
2400€ + 250€ per month","3 bedrooms | 140 m²
square meters",1180 — Uccle,Apartment for rent,NA,3,NA,"140 m²
square meters","42 m²
square meters","20 m²
square meters","14 m²
square meters",Yes,"50 m²
square meters",Yes,Yes,"Rue Alphonse Renard 1
1050 - Ixelles",http://www.emilegarcin.fr,NA,EMILE GARCIN BELGIQUE SPRL,1979,NA,South West,NA,Yes,NA,NA,NA,NA,NA,NA,Immediately,NA,NA,1,Living area (residential, urban or rural)
NA,1,USA hyper equipped,2,NA,1,1,NA,NA,NA,Yes,"101 kWh/m²
kilowatt hour per square meters",C,562194-N-2-5-3-2,19 kg CO₂/m²,Gas,NA,NA,NA,NA,Yes,NA,"€ 1,400
1400 €","€ 250
250€",No,"€1,400 (+ €250)
1400€ + 250€ per month","2 bedrooms | 80 m²
square meters",1140 — Evere,Apartment for rent,6,2,NA,"80 m²
square meters","32 m²
square meters","14 m²
square meters","10 m²
square meters",Yes,"32 m²
square meters",Yes,Yes,"Vorstlaan 292
1160 - Oudergem",NA,5233350,Skyline Renting Services,2018,As new,NA,NA,Yes,No,Yes,NA,Yes,No,NA,Immediately,80 m,NA,NA,Living area (residential, urban or rural)
NA,4,Installed,2,Yes,1,1,No,NA,NA,No,"182 kWh/m²
kilowatt hour per square meters",B,20200710-0002292969-RES-4,Not specified,Gas,NA,NA,NA,NA,Yes,NA,"€ 825
825 €",NA,No,"€825/month
825€ per month",2 bedrooms,9300 — Aalst,Apartment for rent,4,NA,NA,NA,"50 m²
square meters","14 m²
square meters","12 m²
square meters",No,"6 m²
square meters",No,No,"Gentsesteenweg 145
9300 - Aalst",http://www.woonservicevdv.be,1246CC,Woonservice,NA,As new,NA,No,No,No,No,NA,Yes,No,NA,NA,9 m,NA,NA,Urban
March 1 2023 - 12:00 AM,3,Semi equipped,2,Yes,1,1,No,NA,NA,NA,"251 kWh/m²
kilowatt hour per square meters",C,Not specified,Not specified,Gas,No,NA,NA,NA,Yes,NA,"€ 900
900 €","€ 20
20€",No,"€900 (+ €20)
900€ + 20€ per month","2 bedrooms | 80 m²
square meters",1700 — Dilbeek,Apartment for rent,3,NA,NA,"80 m²
square meters","27 m²
square meters","14 m²
square meters","12 m²
square meters",No,"7 m²
square meters",Yes,No,"Gentsesteenweg, 736
1080 - Molenbeek-St-Jean",http://www.sybimmo.be,Nstng238,Sybimmo,NA,Good,NA,No,No,No,No,NA,No,No,NA,NA,NA,NA,NA,NA
NA,NA,Installed,3,No,1,1,No,NA,NA,No,"404 kWh/m²
kilowatt hour per square meters",E,20200512-0002268610-RES-1,Not specified,Fuel oil,NA,NA,NA,NA,Yes,NA,"€ 750
750 €",NA,No,"€750/month
750€ per month","3 bedrooms | 109 m²
square meters",9660 — Brakel,House for rent,NA,NA,NA,"109 m²
square meters",NA,NA,NA,NA,NA,NA,NA,"Brusselsestraat 43
9660 - Brakel",http://www.immo-gosseye.be,Sint-Pieterswijk 80,,Immo Gosseye,NA,As new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA
NA,2,NA,2,No,2,1,No,NA,NA,No,"117.92 kWh/m²
kilowatt hour per square meters",B,45035-G-2011_512/EP12547/E290/D01/SD009,Not specified,NA,NA,NA,NA,NA,No,NA,"€ 720
720 €","€ 75
75€",No,"€720 (+ €75)
720€ + 75€ per month","2 bedrooms | 118 m²
square meters",9700 — Oudenaarde,Apartment for rent,2,NA,NA,"118 m²
square meters","35 m²
square meters","9 m²
square meters","29 m²
square meters",No,"7 m²
square meters",Yes,Yes,"Dokter Honore Dewolfstraat 23
9700 - Oudenaarde",http://www.nobels.be,3400089,Immo Nobels,2014,As new,NA,No,Yes,No,No,NA,Yes,No,NA,NA,NA,NA,NA,Urban
NA,2,NA,2,No,NA,NA,No,NA,NA,No,"154 kWh/m²
kilowatt hour per square meters",B,20221207-0002747579-RES-1,Not specified,NA,NA,NA,NA,NA,No,NA,"€ 700
700 €",NA,No,"€700/month
700€ per month","2 bedrooms | 95 m²
square meters",9300 — Aalst,Apartment for rent,2,NA,NA,"95 m²
square meters",NA,NA,NA,NA,NA,No,No,"Capucienenlaan 106
9300 - Aalst",http://www.derick.be,ErembodegemDorp113-T,De Rick Vastgoedadvies,1980,As new,NA,No,Yes,No,No,NA,No,No,NA,NA,NA,NA,NA,NA
NA,3,NA,NA,No,1,NA,No,NA,NA,No,"112 kWh/m²
kilowatt hour per square meters",B,Not specified,Not specified,Gas,NA,NA,NA,NA,Yes,NA,"€ 515
515 €",NA,No,"€515/month
515€ per month","45 m²
square meters",8500 — Kortrijk,Studio for rent,4,NA,NA,"45 m²
square meters",NA,NA,NA,NA,NA,No,No,"Kortrijksesteenweg 626
9000 - Gand",http://www.arcade-vastgoed.be,Kortrijk - Studio,Arcade Vastgoed,NA,As new,NA,No,Yes,No,No,NA,No,No,NA,NA,NA,NA,NA,Urban
NA,1,NA,1,No,1,1,No,NA,No,No,"128 kWh/m²
kilowatt hour per square meters",B,20180203--000203002-4--1,Not specified,NA,NA,NA,NA,NA,Yes,NA,"€ 710
710 €",NA,No,"€710/month
710€ per month",1 bedroom,2800 — Mechelen,Apartment for rent,2,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,"Frederik de Merodestraat 3/1
2800 - Mechelen",NA,3744,ImmoVos Vastgoed,NA,As new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Urban
February 1 2023 - 12:00 AM,2,Installed,NA,NA,1,1,NA,NA,NA,NA,"149 kWh/m²
kilowatt hour per square meters",C,Not specified,Not specified,Gas,NA,NA,NA,NA,NA,NA,"€ 740
740 €","€ 75
75€",No,"€740 (+ €75)
740€ + 75€ per month","45 m²
square meters",1000 — Brussels City,Apartment for rent,3,4,NA,"45 m²
square meters",NA,NA,NA,Yes,NA,NA,NA,"Waterloosesteenweg 631
1050 - Brussel",http://www.dewaele.com,D1050-B-23019,Dewaele Brussels South,NA,Good,NA,NA,Yes,No,NA,NA,NA,No,NA,NA,NA,NA,NA,Urban
July 1 2021 - 12:00 AM,2,Hyper equipped,2,NA,1,1,NA,NA,NA,Yes,Not specified,Not specified,Not specified,43 kg CO₂/m²,Gas,NA,NA,NA,NA,Yes,NA,"€ 1,000
1000 €","€ 30
30€",No,"€1,000 (+ €30)
1000€ + 30€ per month","2 bedrooms | 70 m²
square meters",1050 — Ixelles,Apartment for rent,4,2,NA,"70 m²
square meters","20 m²
square meters","12 m²
square meters","12 m²
square meters",No,"3 m²
square meters",NA,Yes,"rue Antoine Breart 42
1060 - Saint-Gilles",NA,5233014,Nesting,1940,As new,NA,NA,No,No,NA,NA,Yes,No,NA,Immediately,7.7 m,NA,1,Isolated
NA,1,Hyper equipped,NA,NA,1,1,NA,NA,NA,NA,"224 kWh/m²
kilowatt hour per square meters",E,Not specified,44 kg CO₂/m²,Electric,NA,NA,NA,NA,Yes,NA,"€ 700
700 €","€ 45
45€",No,"€700 (+ €45)
700€ + 45€ per month","32 m²
square meters",Ask for the exact address,Studio for rent,3,2,NA,"32 m²
square meters",NA,NA,NA,No,"2 m²
square meters",Yes,NA,"Route de Genval 32 B4
1380 - Ohain",http://kropek-immobilier.be,5231410,Kropek - Immobilier,NA,Just renovated,NA,NA,No,No,NA,NA,Yes,No,NA,Immediately,NA,NA,1,NA
NA,4,USA hyper equipped,1,NA,1,1,NA,NA,NA,NA,"227 kWh/m²
kilowatt hour per square meters",E,201407080000237882013,Not specified,NA,NA,NA,NA,NA,Yes,NA,"€ 950
950 €","€ 200
200€",No,"€950 (+ €200)
950€ + 200€ per month","1 bedroom | 65 m²
square meters",1000 — Bruxelles,Penthouse for rent,4,NA,NA,"65 m²
square meters","35 m²
square meters","20 m²
square meters",NA,NA,"25 m²
square meters",NA,Yes,"rue du Moulin 4
1340 - Ottignies",http://www.bureaugp.be,5233145,Bureau Gestion & Propriété,NA,Good,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Immediately,NA,NA,NA,NA
February 1 2023 - 12:00 AM,2,Installed,2,NA,1,1,NA,NA,NA,NA,"208 kWh/m²
kilowatt hour per square meters",D,20130622-0000172824-01-3,44 kg CO₂/m²,Gas,No,No,No,NA,No,NA,"€ 1,195
1195 €",NA,No,"€1,195/month
1195€ per month","2 bedrooms | 100 m²
square meters",Ask for the exact address,Apartment for rent,3,2,NA,"100 m²
square meters","42 m²
square meters",NA,NA,No,"20 m²
square meters",NA,NA,"Chaussée de Waterloo 1358A
1180 - Uccle",NA,726AB,LIKE HOME,1920,NA,South West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3,Installed,1,NA,NA,1,NA,NA,NA,NA,Not specified,Not specified,Not specified,Not specified,NA,No,No,No,NA,No,NA,"€ 625
625 €","€ 35
35€",No,"€625 (+ €35)
625€ + 35€ per month","1 bedroom | 45 m²
square meters",Ask for the exact address,Apartment for rent,3,3,NA,"45 m²
square meters","28 m²
square meters",NA,NA,No,NA,NA,NA,"Av. Henri Conscience 170
1140 - Evere",NA,3310,Cetexim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
